url,urlfr,city,prov,id
https://weather.gc.ca/rss/city/ab-12_e.xml,https://meteo.gc.ca/rss/city/ab-12_f.xml,Airdrie,Alberta,1
https://weather.gc.ca/rss/city/ab-10_e.xml,https://meteo.gc.ca/rss/city/ab-10_f.xml,Athabasca,Alberta,2
https://weather.gc.ca/rss/city/ab-49_e.xml,https://meteo.gc.ca/rss/city/ab-49_f.xml,Banff,Alberta,3
https://weather.gc.ca/rss/city/ab-2_e.xml,https://meteo.gc.ca/rss/city/ab-2_f.xml,Barrhead,Alberta,4
https://weather.gc.ca/rss/city/ab-57_e.xml,https://meteo.gc.ca/rss/city/ab-57_f.xml,Beaverlodge,Alberta,5
https://weather.gc.ca/rss/city/ab-43_e.xml,https://meteo.gc.ca/rss/city/ab-43_f.xml,BowIsland,Alberta,6
https://weather.gc.ca/rss/city/ab-42_e.xml,https://meteo.gc.ca/rss/city/ab-42_f.xml,BowValley(ProvincialPark),Alberta,7
https://weather.gc.ca/rss/city/ab-36_e.xml,https://meteo.gc.ca/rss/city/ab-36_f.xml,Breton,Alberta,8
https://weather.gc.ca/rss/city/ab-58_e.xml,https://meteo.gc.ca/rss/city/ab-58_f.xml,Brooks,Alberta,9
https://weather.gc.ca/rss/city/ab-52_e.xml,https://meteo.gc.ca/rss/city/ab-52_f.xml,Calgary,Alberta,10
https://weather.gc.ca/rss/city/ab-61_e.xml,https://meteo.gc.ca/rss/city/ab-61_f.xml,Calgary(OlympicPark),Alberta,11
https://weather.gc.ca/rss/city/ab-18_e.xml,https://meteo.gc.ca/rss/city/ab-18_f.xml,Camrose,Alberta,12
https://weather.gc.ca/rss/city/ab-3_e.xml,https://meteo.gc.ca/rss/city/ab-3_f.xml,Canmore,Alberta,13
https://weather.gc.ca/rss/city/ab-64_e.xml,https://meteo.gc.ca/rss/city/ab-64_f.xml,Cardston,Alberta,14
https://weather.gc.ca/rss/city/ab-60_e.xml,https://meteo.gc.ca/rss/city/ab-60_f.xml,Claresholm,Alberta,15
https://weather.gc.ca/rss/city/ab-1_e.xml,https://meteo.gc.ca/rss/city/ab-1_f.xml,Cochrane,Alberta,16
https://weather.gc.ca/rss/city/ab-23_e.xml,https://meteo.gc.ca/rss/city/ab-23_f.xml,ColdLake,Alberta,17
https://weather.gc.ca/rss/city/ab-59_e.xml,https://meteo.gc.ca/rss/city/ab-59_f.xml,Coronation,Alberta,18
https://weather.gc.ca/rss/city/ab-17_e.xml,https://meteo.gc.ca/rss/city/ab-17_f.xml,Crowsnest,Alberta,19
https://weather.gc.ca/rss/city/ab-48_e.xml,https://meteo.gc.ca/rss/city/ab-48_f.xml,DraytonValley,Alberta,20
https://weather.gc.ca/rss/city/ab-62_e.xml,https://meteo.gc.ca/rss/city/ab-62_f.xml,Drumheller,Alberta,21
https://weather.gc.ca/rss/city/ab-50_e.xml,https://meteo.gc.ca/rss/city/ab-50_f.xml,Edmonton,Alberta,22
https://weather.gc.ca/rss/city/ab-71_e.xml,https://meteo.gc.ca/rss/city/ab-71_f.xml,Edmonton(Int'lAprt),Alberta,23
https://weather.gc.ca/rss/city/ab-72_e.xml,https://meteo.gc.ca/rss/city/ab-72_f.xml,Edson,Alberta,24
https://weather.gc.ca/rss/city/ab-63_e.xml,https://meteo.gc.ca/rss/city/ab-63_f.xml,ElkIsland(NationalPark),Alberta,25
https://weather.gc.ca/rss/city/ab-67_e.xml,https://meteo.gc.ca/rss/city/ab-67_f.xml,Esther,Alberta,26
https://weather.gc.ca/rss/city/ab-28_e.xml,https://meteo.gc.ca/rss/city/ab-28_f.xml,FortChipewyan,Alberta,27
https://weather.gc.ca/rss/city/ab-20_e.xml,https://meteo.gc.ca/rss/city/ab-20_f.xml,FortMcMurray,Alberta,28
https://weather.gc.ca/rss/city/ab-65_e.xml,https://meteo.gc.ca/rss/city/ab-65_f.xml,GardenCreek,Alberta,29
https://weather.gc.ca/rss/city/ab-45_e.xml,https://meteo.gc.ca/rss/city/ab-45_f.xml,GrandeCache,Alberta,30
https://weather.gc.ca/rss/city/ab-31_e.xml,https://meteo.gc.ca/rss/city/ab-31_f.xml,GrandePrairie,Alberta,31
